"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: implName","Param: numberOfAccounts"
"de.hs_augsburg.nlp.four.BenchBankSecondRound.mixed","thrpt",5,3,"7353437,257649","8030254,736925","ops/s",SmallLock,50
"de.hs_augsburg.nlp.four.BenchBankSecondRound.mixed:balance","thrpt",5,3,"4146017,125010","3576604,322897","ops/s",SmallLock,50
"de.hs_augsburg.nlp.four.BenchBankSecondRound.mixed:deposit","thrpt",5,3,"310986,770513","517154,915712","ops/s",SmallLock,50
"de.hs_augsburg.nlp.four.BenchBankSecondRound.mixed:getEntries","thrpt",5,3,"2312108,523002","3732297,744802","ops/s",SmallLock,50
"de.hs_augsburg.nlp.four.BenchBankSecondRound.mixed:transfer","thrpt",5,3,"272695,108156","369484,257337","ops/s",SmallLock,50
"de.hs_augsburg.nlp.four.BenchBankSecondRound.mixed:withdraw","thrpt",5,3,"311629,730967","629431,948010","ops/s",SmallLock,50
"de.hs_augsburg.nlp.four.BenchBankSecondRound.mixed","thrpt",5,3,"9890345,524662","19254844,212956","ops/s",Cas,50
"de.hs_augsburg.nlp.four.BenchBankSecondRound.mixed:balance","thrpt",5,3,"4521267,219265","8605844,393094","ops/s",Cas,50
"de.hs_augsburg.nlp.four.BenchBankSecondRound.mixed:deposit","thrpt",5,3,"186536,605126","482861,413725","ops/s",Cas,50
"de.hs_augsburg.nlp.four.BenchBankSecondRound.mixed:getEntries","thrpt",5,3,"4983178,563765","9799210,720324","ops/s",Cas,50
"de.hs_augsburg.nlp.four.BenchBankSecondRound.mixed:transfer","thrpt",5,3,"9043,467779","48340,372705","ops/s",Cas,50
"de.hs_augsburg.nlp.four.BenchBankSecondRound.mixed:withdraw","thrpt",5,3,"190319,668727","486227,695975","ops/s",Cas,50
"de.hs_augsburg.nlp.four.BenchBankSecondRound.mixed","thrpt",5,3,"10058219,054418","12377238,519282","ops/s",Scala,50
"de.hs_augsburg.nlp.four.BenchBankSecondRound.mixed:balance","thrpt",5,3,"4615155,483636","5917212,491324","ops/s",Scala,50
"de.hs_augsburg.nlp.four.BenchBankSecondRound.mixed:deposit","thrpt",5,3,"739285,156932","734714,556627","ops/s",Scala,50
"de.hs_augsburg.nlp.four.BenchBankSecondRound.mixed:getEntries","thrpt",5,3,"4005874,438733","6788357,728460","ops/s",Scala,50
"de.hs_augsburg.nlp.four.BenchBankSecondRound.mixed:transfer","thrpt",5,3,"1371,130642","8189,139211","ops/s",Scala,50
"de.hs_augsburg.nlp.four.BenchBankSecondRound.mixed:withdraw","thrpt",5,3,"696532,844474","1097172,014591","ops/s",Scala,50
"de.hs_augsburg.nlp.four.BenchBankSecondRound.mixed","thrpt",5,3,"10186061,989741","10196436,738419","ops/s",Val,50
"de.hs_augsburg.nlp.four.BenchBankSecondRound.mixed:balance","thrpt",5,3,"4612214,640595","3835382,793487","ops/s",Val,50
"de.hs_augsburg.nlp.four.BenchBankSecondRound.mixed:deposit","thrpt",5,3,"734360,458030","607767,894336","ops/s",Val,50
"de.hs_augsburg.nlp.four.BenchBankSecondRound.mixed:getEntries","thrpt",5,3,"4111322,292314","5138429,982459","ops/s",Val,50
"de.hs_augsburg.nlp.four.BenchBankSecondRound.mixed:transfer","thrpt",5,3,"2098,035181","25320,771852","ops/s",Val,50
"de.hs_augsburg.nlp.four.BenchBankSecondRound.mixed:withdraw","thrpt",5,3,"726066,563621","1272733,129443","ops/s",Val,50
"de.hs_augsburg.nlp.four.BenchBankSecondRound.mixed","thrpt",5,3,"9927516,780883","6869507,355871","ops/s",STM,50
"de.hs_augsburg.nlp.four.BenchBankSecondRound.mixed:balance","thrpt",5,3,"4559795,778753","3671575,759713","ops/s",STM,50
"de.hs_augsburg.nlp.four.BenchBankSecondRound.mixed:deposit","thrpt",5,3,"730890,846510","967174,442190","ops/s",STM,50
"de.hs_augsburg.nlp.four.BenchBankSecondRound.mixed:getEntries","thrpt",5,3,"4001484,018324","2946817,820472","ops/s",STM,50
"de.hs_augsburg.nlp.four.BenchBankSecondRound.mixed:transfer","thrpt",5,3,"2476,104629","31173,357550","ops/s",STM,50
"de.hs_augsburg.nlp.four.BenchBankSecondRound.mixed:withdraw","thrpt",5,3,"632870,032667","775819,812283","ops/s",STM,50
