"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: implName","Param: numberOfAccounts"
"de.hs_augsburg.nlp.four.BenchBankSecondRound.mixed","thrpt",35,5,"20792640,492117","10463940,268967","ops/s",SmallLock,50
"de.hs_augsburg.nlp.four.BenchBankSecondRound.mixed:balance","thrpt",35,5,"19170326,312309","11453044,458720","ops/s",SmallLock,50
"de.hs_augsburg.nlp.four.BenchBankSecondRound.mixed:deposit","thrpt",35,5,"291716,797191","514364,577627","ops/s",SmallLock,50
"de.hs_augsburg.nlp.four.BenchBankSecondRound.mixed:getEntries","thrpt",35,5,"1049666,058698","912213,141681","ops/s",SmallLock,50
"de.hs_augsburg.nlp.four.BenchBankSecondRound.mixed:transfer","thrpt",35,5,"27742,198109","58614,708237","ops/s",SmallLock,50
"de.hs_augsburg.nlp.four.BenchBankSecondRound.mixed:withdraw","thrpt",35,5,"253189,125810","381566,288185","ops/s",SmallLock,50
"de.hs_augsburg.nlp.four.BenchBankSecondRound.mixed","thrpt",35,5,"8420123,959454","768629,111282","ops/s",Cas,50
"de.hs_augsburg.nlp.four.BenchBankSecondRound.mixed:balance","thrpt",35,5,"4910990,209111","669997,963620","ops/s",Cas,50
"de.hs_augsburg.nlp.four.BenchBankSecondRound.mixed:deposit","thrpt",35,5,"23692,885189","5795,851120","ops/s",Cas,50
"de.hs_augsburg.nlp.four.BenchBankSecondRound.mixed:getEntries","thrpt",35,5,"3455837,469983","188273,696783","ops/s",Cas,50
"de.hs_augsburg.nlp.four.BenchBankSecondRound.mixed:transfer","thrpt",35,5,"5589,309035","455,929169","ops/s",Cas,50
"de.hs_augsburg.nlp.four.BenchBankSecondRound.mixed:withdraw","thrpt",35,5,"24014,086135","4357,745019","ops/s",Cas,50
"de.hs_augsburg.nlp.four.BenchBankSecondRound.mixed","thrpt",35,5,"3713827,648249","2301880,866839","ops/s",Scala,50
"de.hs_augsburg.nlp.four.BenchBankSecondRound.mixed:balance","thrpt",35,5,"2541167,159540","1004240,174700","ops/s",Scala,50
"de.hs_augsburg.nlp.four.BenchBankSecondRound.mixed:deposit","thrpt",35,5,"58204,199032","33844,329597","ops/s",Scala,50
"de.hs_augsburg.nlp.four.BenchBankSecondRound.mixed:getEntries","thrpt",35,5,"1007290,093568","1102365,742684","ops/s",Scala,50
"de.hs_augsburg.nlp.four.BenchBankSecondRound.mixed:transfer","thrpt",35,5,"7965,172546","64288,318470","ops/s",Scala,50
"de.hs_augsburg.nlp.four.BenchBankSecondRound.mixed:withdraw","thrpt",35,5,"99201,023563","272421,158456","ops/s",Scala,50
"de.hs_augsburg.nlp.four.BenchBankSecondRound.mixed","thrpt",35,5,"3105932,298379","318990,917659","ops/s",Val,50
"de.hs_augsburg.nlp.four.BenchBankSecondRound.mixed:balance","thrpt",35,5,"2222400,028311","237650,170694","ops/s",Val,50
"de.hs_augsburg.nlp.four.BenchBankSecondRound.mixed:deposit","thrpt",35,5,"49599,375601","3562,042808","ops/s",Val,50
"de.hs_augsburg.nlp.four.BenchBankSecondRound.mixed:getEntries","thrpt",35,5,"786040,450380","142704,449816","ops/s",Val,50
"de.hs_augsburg.nlp.four.BenchBankSecondRound.mixed:transfer","thrpt",35,5,"227,597600","20,492616","ops/s",Val,50
"de.hs_augsburg.nlp.four.BenchBankSecondRound.mixed:withdraw","thrpt",35,5,"47664,846487","5834,387069","ops/s",Val,50
"de.hs_augsburg.nlp.four.BenchBankSecondRound.mixed","thrpt",35,5,"3323427,630670","2738027,993523","ops/s",STM,50
"de.hs_augsburg.nlp.four.BenchBankSecondRound.mixed:balance","thrpt",35,5,"2145746,686916","1447222,911435","ops/s",STM,50
"de.hs_augsburg.nlp.four.BenchBankSecondRound.mixed:deposit","thrpt",35,5,"69715,507249","79630,186151","ops/s",STM,50
"de.hs_augsburg.nlp.four.BenchBankSecondRound.mixed:getEntries","thrpt",35,5,"997511,874338","1083708,179169","ops/s",STM,50
"de.hs_augsburg.nlp.four.BenchBankSecondRound.mixed:transfer","thrpt",35,5,"40402,675335","48687,407361","ops/s",STM,50
"de.hs_augsburg.nlp.four.BenchBankSecondRound.mixed:withdraw","thrpt",35,5,"70050,886831","83539,157331","ops/s",STM,50
"de.hs_augsburg.nlp.four.BenchBankSecondRound.mixed","thrpt",35,5,"378348,880842","45924,822587","ops/s",Ref,50
"de.hs_augsburg.nlp.four.BenchBankSecondRound.mixed:balance","thrpt",35,5,"171142,470265","21004,527148","ops/s",Ref,50
"de.hs_augsburg.nlp.four.BenchBankSecondRound.mixed:deposit","thrpt",35,5,"24909,572579","2621,097391","ops/s",Ref,50
"de.hs_augsburg.nlp.four.BenchBankSecondRound.mixed:getEntries","thrpt",35,5,"139796,077771","22265,413813","ops/s",Ref,50
"de.hs_augsburg.nlp.four.BenchBankSecondRound.mixed:transfer","thrpt",35,5,"17738,155502","1698,498204","ops/s",Ref,50
"de.hs_augsburg.nlp.four.BenchBankSecondRound.mixed:withdraw","thrpt",35,5,"24762,604725","2389,472202","ops/s",Ref,50
