"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: implName","Param: numberOfAccounts"
"de.hs_augsburg.nlp.four.BenchBankSecondRound.mixed","thrpt",35,3,"10730249,440690","109593522,898001","ops/s",SmallLock,50
"de.hs_augsburg.nlp.four.BenchBankSecondRound.mixed:balance","thrpt",35,3,"8823194,455606","88659618,558429","ops/s",SmallLock,50
"de.hs_augsburg.nlp.four.BenchBankSecondRound.mixed:deposit","thrpt",35,3,"343773,340045","3828637,043297","ops/s",SmallLock,50
"de.hs_augsburg.nlp.four.BenchBankSecondRound.mixed:getEntries","thrpt",35,3,"1216921,869044","16889325,730494","ops/s",SmallLock,50
"de.hs_augsburg.nlp.four.BenchBankSecondRound.mixed:transfer","thrpt",35,3,"30571,443129","273388,029221","ops/s",SmallLock,50
"de.hs_augsburg.nlp.four.BenchBankSecondRound.mixed:withdraw","thrpt",35,3,"315788,332866","3597530,284225","ops/s",SmallLock,50
"de.hs_augsburg.nlp.four.BenchBankSecondRound.mixed","thrpt",35,3,"8025857,475057","22275552,595961","ops/s",Cas,50
"de.hs_augsburg.nlp.four.BenchBankSecondRound.mixed:balance","thrpt",35,3,"4704067,355066","13318504,531646","ops/s",Cas,50
"de.hs_augsburg.nlp.four.BenchBankSecondRound.mixed:deposit","thrpt",35,3,"19318,474784","18776,827275","ops/s",Cas,50
"de.hs_augsburg.nlp.four.BenchBankSecondRound.mixed:getEntries","thrpt",35,3,"3279082,565646","8920704,622827","ops/s",Cas,50
"de.hs_augsburg.nlp.four.BenchBankSecondRound.mixed:transfer","thrpt",35,3,"3895,592175","5497,492603","ops/s",Cas,50
"de.hs_augsburg.nlp.four.BenchBankSecondRound.mixed:withdraw","thrpt",35,3,"19493,487386","15393,800145","ops/s",Cas,50
"de.hs_augsburg.nlp.four.BenchBankSecondRound.mixed","thrpt",35,3,"5043438,246677","6683920,706291","ops/s",Scala,50
"de.hs_augsburg.nlp.four.BenchBankSecondRound.mixed:balance","thrpt",35,3,"2654572,513377","6593912,162570","ops/s",Scala,50
"de.hs_augsburg.nlp.four.BenchBankSecondRound.mixed:deposit","thrpt",35,3,"122794,864990","44436,752969","ops/s",Scala,50
"de.hs_augsburg.nlp.four.BenchBankSecondRound.mixed:getEntries","thrpt",35,3,"2152714,451332","2969646,113386","ops/s",Scala,50
"de.hs_augsburg.nlp.four.BenchBankSecondRound.mixed:transfer","thrpt",35,3,"321,790180","9870,910620","ops/s",Scala,50
"de.hs_augsburg.nlp.four.BenchBankSecondRound.mixed:withdraw","thrpt",35,3,"113034,626799","142523,047062","ops/s",Scala,50
"de.hs_augsburg.nlp.four.BenchBankSecondRound.mixed","thrpt",35,3,"4521168,539083","3732069,943776","ops/s",Val,50
"de.hs_augsburg.nlp.four.BenchBankSecondRound.mixed:balance","thrpt",35,3,"2225324,558394","3235162,400615","ops/s",Val,50
"de.hs_augsburg.nlp.four.BenchBankSecondRound.mixed:deposit","thrpt",35,3,"111299,065825","237202,444981","ops/s",Val,50
"de.hs_augsburg.nlp.four.BenchBankSecondRound.mixed:getEntries","thrpt",35,3,"2043614,852832","2889737,047502","ops/s",Val,50
"de.hs_augsburg.nlp.four.BenchBankSecondRound.mixed:transfer","thrpt",35,3,"34838,709394","1098558,256655","ops/s",Val,50
"de.hs_augsburg.nlp.four.BenchBankSecondRound.mixed:withdraw","thrpt",35,3,"106091,352638","123828,014063","ops/s",Val,50
"de.hs_augsburg.nlp.four.BenchBankSecondRound.mixed","thrpt",35,3,"7873587,155921","34623419,345953","ops/s",STM,50
"de.hs_augsburg.nlp.four.BenchBankSecondRound.mixed:balance","thrpt",35,3,"4377787,078127","21615864,966655","ops/s",STM,50
"de.hs_augsburg.nlp.four.BenchBankSecondRound.mixed:deposit","thrpt",35,3,"191173,264247","993975,881323","ops/s",STM,50
"de.hs_augsburg.nlp.four.BenchBankSecondRound.mixed:getEntries","thrpt",35,3,"3017547,184542","14392172,614687","ops/s",STM,50
"de.hs_augsburg.nlp.four.BenchBankSecondRound.mixed:transfer","thrpt",35,3,"96044,909111","438589,875162","ops/s",STM,50
"de.hs_augsburg.nlp.four.BenchBankSecondRound.mixed:withdraw","thrpt",35,3,"191034,719893","1077655,852585","ops/s",STM,50
