"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: implName","Param: numberOfAccounts"
"de.hs_augsburg.nlp.four.BenchBankSecondRound.mixed","thrpt",5,6,"4971066,637220","7741227,723738","ops/s",SmallLock,50
"de.hs_augsburg.nlp.four.BenchBankSecondRound.mixed:balance","thrpt",5,6,"2934602,888870","4696459,737852","ops/s",SmallLock,50
"de.hs_augsburg.nlp.four.BenchBankSecondRound.mixed:deposit","thrpt",5,6,"271970,856951","443935,403225","ops/s",SmallLock,50
"de.hs_augsburg.nlp.four.BenchBankSecondRound.mixed:getEntries","thrpt",5,6,"1288631,324930","2047311,735994","ops/s",SmallLock,50
"de.hs_augsburg.nlp.four.BenchBankSecondRound.mixed:transfer","thrpt",5,6,"195751,802575","316503,102511","ops/s",SmallLock,50
"de.hs_augsburg.nlp.four.BenchBankSecondRound.mixed:withdraw","thrpt",5,6,"280109,763894","445096,391023","ops/s",SmallLock,50
"de.hs_augsburg.nlp.four.BenchBankSecondRound.mixed","thrpt",5,6,"3802755,320663","1500144,431859","ops/s",Cas,50
"de.hs_augsburg.nlp.four.BenchBankSecondRound.mixed:balance","thrpt",5,6,"1812404,192731","818474,355911","ops/s",Cas,50
"de.hs_augsburg.nlp.four.BenchBankSecondRound.mixed:deposit","thrpt",5,6,"104155,121250","59964,004212","ops/s",Cas,50
"de.hs_augsburg.nlp.four.BenchBankSecondRound.mixed:getEntries","thrpt",5,6,"1794159,174998","675576,873961","ops/s",Cas,50
"de.hs_augsburg.nlp.four.BenchBankSecondRound.mixed:transfer","thrpt",5,6,"506,608144","1117,910949","ops/s",Cas,50
"de.hs_augsburg.nlp.four.BenchBankSecondRound.mixed:withdraw","thrpt",5,6,"91530,223540","86004,024118","ops/s",Cas,50
"de.hs_augsburg.nlp.four.BenchBankSecondRound.mixed","thrpt",5,6,"3751275,316139","2205355,111855","ops/s",Scala,50
"de.hs_augsburg.nlp.four.BenchBankSecondRound.mixed:balance","thrpt",5,6,"1764042,104986","1230890,268486","ops/s",Scala,50
"de.hs_augsburg.nlp.four.BenchBankSecondRound.mixed:deposit","thrpt",5,6,"265243,144485","78956,017102","ops/s",Scala,50
"de.hs_augsburg.nlp.four.BenchBankSecondRound.mixed:getEntries","thrpt",5,6,"1479340,277028","851373,815057","ops/s",Scala,50
"de.hs_augsburg.nlp.four.BenchBankSecondRound.mixed:transfer","thrpt",5,6,"13,554307","43,899882","ops/s",Scala,50
"de.hs_augsburg.nlp.four.BenchBankSecondRound.mixed:withdraw","thrpt",5,6,"242636,235333","92363,344121","ops/s",Scala,50
"de.hs_augsburg.nlp.four.BenchBankSecondRound.mixed","thrpt",5,6,"2580016,029891","1582084,205864","ops/s",Val,50
"de.hs_augsburg.nlp.four.BenchBankSecondRound.mixed:balance","thrpt",5,6,"1314203,941499","908264,800524","ops/s",Val,50
"de.hs_augsburg.nlp.four.BenchBankSecondRound.mixed:deposit","thrpt",5,6,"153638,242360","196629,123055","ops/s",Val,50
"de.hs_augsburg.nlp.four.BenchBankSecondRound.mixed:getEntries","thrpt",5,6,"959216,088634","707009,804870","ops/s",Val,50
"de.hs_augsburg.nlp.four.BenchBankSecondRound.mixed:transfer","thrpt",5,6,"116,995795","412,882812","ops/s",Val,50
"de.hs_augsburg.nlp.four.BenchBankSecondRound.mixed:withdraw","thrpt",5,6,"152840,761603","190239,090159","ops/s",Val,50
"de.hs_augsburg.nlp.four.BenchBankSecondRound.mixed","thrpt",5,6,"3452200,578097","1633373,827995","ops/s",STM,50
"de.hs_augsburg.nlp.four.BenchBankSecondRound.mixed:balance","thrpt",5,6,"1541455,877692","811159,917542","ops/s",STM,50
"de.hs_augsburg.nlp.four.BenchBankSecondRound.mixed:deposit","thrpt",5,6,"233548,698227","97164,624455","ops/s",STM,50
"de.hs_augsburg.nlp.four.BenchBankSecondRound.mixed:getEntries","thrpt",5,6,"1422640,472075","686756,554380","ops/s",STM,50
"de.hs_augsburg.nlp.four.BenchBankSecondRound.mixed:transfer","thrpt",5,6,"4,741626","15,311841","ops/s",STM,50
"de.hs_augsburg.nlp.four.BenchBankSecondRound.mixed:withdraw","thrpt",5,6,"254550,788477","97392,035596","ops/s",STM,50
