Typ,noCustomers,time Laptop,cputime Laptop,time rechentier,cputime Rechentier,impl,,NO_VISITS,10.000.000
Nur Lesend,2,473,833,2670,5280,MONITOR,,,
,2,57,99,150,280,LESS_MONITOR,,,
,2,835,1304,2510,4952,LOCKFACADE,,,
,2,131,161,165,342,ATOMIC,,,
,2,102,190,160,312,ADDER_ACCOUNT,,,
,2,123,184,187,327,ATOMIC_ADDER_ACCOUNT,,,
,4,1912,5346,11063,32545,MONITOR,,,
,4,43,126,72,248,LESS_MONITOR,,,
,4,437,681,2327,4326,LOCKFACADE,,,
,4,42,144,89,312,ATOMIC,,,
,4,42,149,97,372,ADDER_ACCOUNT,,,
,4,56,148,113,342,ATOMIC_ADDER_ACCOUNT,,,
,8,1439,2985,10990,31997,MONITOR,,,
,8,48,117,50,368,LESS_MONITOR,,,
,8,396,554,2315,4421,LOCKFACADE,,,
,8,44,142,48,264,ATOMIC,,,
,8,43,141,51,338,ADDER_ACCOUNT,,,
,8,48,152,50,368,ATOMIC_ADDER_ACCOUNT,,,
,16,1315,2654,10143,29461,MONITOR,,,
,16,41,122,52,339,LESS_MONITOR,,,
,16,411,640,2332,4479,LOCKFACADE,,,
,16,43,129,48,400,ATOMIC,,,
,16,47,136,35,400,ADDER_ACCOUNT,,,
,16,47,154,35,452,ATOMIC_ADDER_ACCOUNT,,,
,32,1396,2823,10120,29702,MONITOR,,,
,32,50,113,40,241,LESS_MONITOR,,,
,32,422,662,2343,4629,LOCKFACADE,,,
,32,49,122,46,435,ATOMIC,,,
,32,49,124,30,480,ADDER_ACCOUNT,,,
,32,49,139,28,480,ATOMIC_ADDER_ACCOUNT,,,
,64,1418,2853,9996,28945,MONITOR,,,
,64,49,102,47,330,LESS_MONITOR,,,
,64,404,564,2310,4661,LOCKFACADE,,,
,64,59,106,39,315,ATOMIC,,,
,64,51,116,35,541,ADDER_ACCOUNT,,,
,64,52,109,34,90,ATOMIC_ADDER_ACCOUNT,,,
,,,,,,,,,
,,,,,,,,,
Typ,noCustomers,time Laptop,cputime Laptop,time Rechentier,cputime Rechentier,impl,,,
Nur Einzahlen,2,477,787,3082,6109,MONITOR,,,
,2,446,825,2071,4046,LESS_MONITOR,,,
,2,428,481,2307,4514,LOCKFACADE,,,
,2,218,340,1558,3077,ATOMIC,,,
,2,142,245,275,531,ADDER,,,
,2,143,251,314,608,ATOMIC_ADDER,,,
,4,1928,5550,10374,30045,MONITOR,,,
,4,2335,7349,10286,27670,LESS_MONITOR,,,
,4,411,732,2334,4139,LOCKFACADE,,,
,4,292,1103,2253,8499,ATOMIC,,,
,4,67,244,163,669,ADDER,,,
,4,70,231,168,607,ATOMIC_ADDER,,,
,8,1397,2873,13267,40636,MONITOR,,,
,8,1530,3094,10510,28653,LESS_MONITOR,,,
,8,357,497,2497,4654,LOCKFACADE,,,
,8,337,1270,2976,22559,ATOMIC,,,
,8,66,232,85,608,ADDER,,,
,8,68,242,84,624,ATOMIC_ADDER,,,
,16,1359,2747,10182,28946,MONITOR,,,
,16,1585,3187,13183,39056,LESS_MONITOR,,,
,16,362,491,2506,4803,LOCKFACADE,,,
,16,341,1279,2852,41776,ATOMIC,,,
,16,67,236,66,526,ADDER,,,
,16,77,226,45,736,ATOMIC_ADDER,,,
,32,1366,2770,10196,28896,MONITOR,,,
,32,1432,2864,10540,28267,LESS_MONITOR,,,
,32,392,548,2433,4535,LOCKFACADE,,,
,32,338,1245,2609,73596,ATOMIC,,,
,32,77,199,56,576,ADDER,,,
,32,67,220,46,576,ATOMIC_ADDER,,,
,64,1375,2761,11210,32144,MONITOR,,,
,64,1560,3142,13577,41581,LESS_MONITOR,,,
,64,368,453,2424,4534,LOCKFACADE,,,
,64,337,1252,2617,75339,ATOMIC,,,
,64,76,187,42,420,ADDER,,,
,64,84,179,41,585,ATOMIC_ADDER,,,
,,,,,,,,,
,,,,,,,,,
Typ,noCustomers,time Laptop,cputime Laptop,time Rechentier,cputime Rechentier,impl,,,
Einzahlen und lesen,2,378,735,2738,5358,MONITOR,,,
,2,270,372,1028,1499,LESS_MONITOR,,,
,2,747,1149,2440,4811,LOCKFACADE,,,
,2,165,188,649,1140,ATOMIC,,,
,2,179,205,602,1046,ADDER,,,
,2,232,337,708,1234,ATOMIC_ADDER,,,
,4,1904,4910,10776,31326,MONITOR,,,
,4,684,1458,5432,11201,LESS_MONITOR,,,
,4,417,742,2213,4077,LOCKFACADE,,,
,4,121,455,1585,4389,ATOMIC,,,
,4,164,560,1138,4499,ADDER,,,
,4,162,593,984,3796,ATOMIC_ADDER,,,
,8,1428,2888,12114,35058,MONITOR,,,
,8,1129,3452,5310,15122,LESS_MONITOR,,,
,8,374,547,2274,4434,LOCKFACADE,,,
,8,144,482,1886,8856,ATOMIC,,,
,8,130,447,895,6387,ADDER,,,
,8,123,435,875,6310,ATOMIC_ADDER,,,
,16,1339,2684,10967,30540,MONITOR,,,
,16,800,1730,6389,19009,LESS_MONITOR,,,
,16,371,527,2288,4415,LOCKFACADE,,,
,16,148,558,2153,18320,ATOMIC,,,
,16,126,418,928,12117,ADDER,,,
,16,126,440,891,11184,ATOMIC_ADDER,,,
,32,1333,2697,11484,33267,MONITOR,,,
,32,733,1569,6260,17889,LESS_MONITOR,,,
,32,360,492,2393,4517,LOCKFACADE,,,
,32,210,777,1682,27626,ATOMIC,,,
,32,137,494,626,13800,ADDER,,,
,32,127,418,621,14239,ATOMIC_ADDER,,,
,64,1343,2667,13080,38929,MONITOR,,,
,64,758,1622,5552,15969,LESS_MONITOR,,,
,64,365,468,2313,4469,LOCKFACADE,,,
,64,209,735,1149,27856,ATOMIC,,,
,64,125,390,626,16473,ADDER,,,
,64,148,409,658,17131,ATOMIC_ADDER,,,
