"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: implName","Param: numberOfAccounts"
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.create","thrpt",5,5,"1699517,279497","3949703,883928","ops/s",Monitor,2
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.create","thrpt",5,5,"1646820,381592","3707997,058279","ops/s",Monitor,10
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.create","thrpt",5,5,"1525634,146859","2922223,617236","ops/s",Monitor,30
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.create","thrpt",5,5,"1669124,443954","3655500,314211","ops/s",Monitor,100
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.create","thrpt",5,5,"2242490,438091","296423,002287","ops/s",SmallLock,2
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.create","thrpt",5,5,"1754355,110259","2844420,839090","ops/s",SmallLock,10
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.create","thrpt",5,5,"1604635,642465","3168300,242958","ops/s",SmallLock,30
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.create","thrpt",5,5,"1891878,310091","3269680,866723","ops/s",SmallLock,100
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.create","thrpt",5,5,"346915,441113","73300,788018","ops/s",Cas,2
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.create","thrpt",5,5,"347124,354787","54010,790211","ops/s",Cas,10
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.create","thrpt",5,5,"344525,709719","50094,697744","ops/s",Cas,30
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.create","thrpt",5,5,"344319,093101","76493,811215","ops/s",Cas,100
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.create","thrpt",5,5,"395968,793018","34121,870812","ops/s",Accumulator,2
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.create","thrpt",5,5,"395121,167386","28536,910454","ops/s",Accumulator,10
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.create","thrpt",5,5,"392807,293965","19254,390787","ops/s",Accumulator,30
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.create","thrpt",5,5,"392881,011988","41761,620406","ops/s",Accumulator,100
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.depositOnly","thrpt",5,5,"743013,591234","1299674,064067","ops/s",Monitor,2
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.depositOnly","thrpt",5,5,"750828,466105","1380219,729170","ops/s",Monitor,10
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.depositOnly","thrpt",5,5,"744979,673192","1516915,955461","ops/s",Monitor,30
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.depositOnly","thrpt",5,5,"851689,192796","1044552,284841","ops/s",Monitor,100
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.depositOnly","thrpt",5,5,"968680,984017","2051847,122306","ops/s",SmallLock,2
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.depositOnly","thrpt",5,5,"998601,760936","2362238,477602","ops/s",SmallLock,10
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.depositOnly","thrpt",5,5,"1017708,567709","2300394,612528","ops/s",SmallLock,30
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.depositOnly","thrpt",5,5,"1017145,199551","2278702,844314","ops/s",SmallLock,100
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.depositOnly","thrpt",5,5,"302607,488906","42840,870090","ops/s",Cas,2
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.depositOnly","thrpt",5,5,"330868,603800","28202,166774","ops/s",Cas,10
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.depositOnly","thrpt",5,5,"342491,116609","63284,948507","ops/s",Cas,30
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.depositOnly","thrpt",5,5,"352073,350697","34991,461749","ops/s",Cas,100
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.depositOnly","thrpt",5,5,"888805,625337","247488,000692","ops/s",Accumulator,2
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.depositOnly","thrpt",5,5,"799718,062861","77107,767398","ops/s",Accumulator,10
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.depositOnly","thrpt",5,5,"754059,538656","140678,701593","ops/s",Accumulator,30
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.depositOnly","thrpt",5,5,"646342,697299","333944,904632","ops/s",Accumulator,100
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed","thrpt",5,5,"908023,771772","20944,035989","ops/s",Monitor,2
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:balance","thrpt",5,5,"162526,540839","10455,780447","ops/s",Monitor,2
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:deposit","thrpt",5,5,"213286,348265","10829,257995","ops/s",Monitor,2
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:getEntries","thrpt",5,5,"174412,226147","18690,542365","ops/s",Monitor,2
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:transfer","thrpt",5,5,"145298,181015","4833,687769","ops/s",Monitor,2
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:withdraw","thrpt",5,5,"212500,475507","10095,752758","ops/s",Monitor,2
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed","thrpt",5,5,"911732,170445","11969,282057","ops/s",Monitor,10
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:balance","thrpt",5,5,"164127,297786","14492,432210","ops/s",Monitor,10
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:deposit","thrpt",5,5,"209910,671630","5682,853241","ops/s",Monitor,10
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:getEntries","thrpt",5,5,"178539,026846","15990,094745","ops/s",Monitor,10
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:transfer","thrpt",5,5,"149890,612140","3410,920476","ops/s",Monitor,10
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:withdraw","thrpt",5,5,"209264,562042","10681,059572","ops/s",Monitor,10
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed","thrpt",5,5,"756246,429655","1101718,716475","ops/s",Monitor,30
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:balance","thrpt",5,5,"136779,417325","199091,954215","ops/s",Monitor,30
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:deposit","thrpt",5,5,"173882,022845","253584,302694","ops/s",Monitor,30
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:getEntries","thrpt",5,5,"146391,710641","214666,303236","ops/s",Monitor,30
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:transfer","thrpt",5,5,"125443,208279","183619,951438","ops/s",Monitor,30
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:withdraw","thrpt",5,5,"173750,070565","251262,580217","ops/s",Monitor,30
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed","thrpt",5,5,"912994,447736","13431,698324","ops/s",Monitor,100
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:balance","thrpt",5,5,"166255,642775","2585,956768","ops/s",Monitor,100
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:deposit","thrpt",5,5,"209294,582344","5761,848613","ops/s",Monitor,100
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:getEntries","thrpt",5,5,"178094,599175","12206,642645","ops/s",Monitor,100
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:transfer","thrpt",5,5,"147674,714996","3337,776571","ops/s",Monitor,100
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:withdraw","thrpt",5,5,"211674,908447","8976,495204","ops/s",Monitor,100
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed","thrpt",5,5,"1386062,443189","1770677,971960","ops/s",SmallLock,2
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:balance","thrpt",5,5,"440151,556985","549842,242274","ops/s",SmallLock,2
