"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: implName","Param: numberOfAccounts"
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed","thrpt",5,6,"304686,076897","925509,406174","ops/s",Monitor,100
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:balance","thrpt",5,6,"13592,181305","32712,723015","ops/s",Monitor,100
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:deposit","thrpt",5,6,"79493,983329","336864,191839","ops/s",Monitor,100
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:getEntries","thrpt",5,6,"17778,418702","37286,873290","ops/s",Monitor,100
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:transfer","thrpt",5,6,"113263,786950","356679,641853","ops/s",Monitor,100
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:withdraw","thrpt",5,6,"80557,706611","184023,667424","ops/s",Monitor,100
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed","thrpt",5,6,"7083766,518713","4392010,448610","ops/s",SmallLock,100
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:balance","thrpt",5,6,"4242928,266116","2844820,639100","ops/s",SmallLock,100
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:deposit","thrpt",5,6,"341477,451066","264242,771042","ops/s",SmallLock,100
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:getEntries","thrpt",5,6,"1947084,918663","1216045,925438","ops/s",SmallLock,100
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:transfer","thrpt",5,6,"234489,275440","182503,975541","ops/s",SmallLock,100
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:withdraw","thrpt",5,6,"317786,607428","191054,308652","ops/s",SmallLock,100
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed","thrpt",5,6,"6001633,839506","1542564,938694","ops/s",Cas,100
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:balance","thrpt",5,6,"2905301,467708","2141874,047190","ops/s",Cas,100
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:deposit","thrpt",5,6,"171591,520654","141867,372237","ops/s",Cas,100
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:getEntries","thrpt",5,6,"2729269,133120","1383188,793050","ops/s",Cas,100
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:transfer","thrpt",5,6,"19061,344542","23941,430861","ops/s",Cas,100
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:withdraw","thrpt",5,6,"176410,373482","123990,049726","ops/s",Cas,100
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed","thrpt",5,6,"1644967,085083","660686,337560","ops/s",Accumulator,100
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:balance","thrpt",5,6,"1157132,062278","630460,609452","ops/s",Accumulator,100
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:deposit","thrpt",5,6,"117503,653977","38295,533444","ops/s",Accumulator,100
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:getEntries","thrpt",5,6,"198201,379760","68004,446922","ops/s",Accumulator,100
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:transfer","thrpt",5,6,"53139,670629","25353,459502","ops/s",Accumulator,100
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:withdraw","thrpt",5,6,"118990,318440","85913,010580","ops/s",Accumulator,100
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed","thrpt",5,6,"3319847,692700","885424,217601","ops/s",Ref,100
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:balance","thrpt",5,6,"1580805,286881","480270,010584","ops/s",Ref,100
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:deposit","thrpt",5,6,"108009,895336","16189,690845","ops/s",Ref,100
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:getEntries","thrpt",5,6,"1450109,694986","419823,050408","ops/s",Ref,100
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:transfer","thrpt",5,6,"75187,804970","16885,076982","ops/s",Ref,100
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:withdraw","thrpt",5,6,"105735,010527","21647,188170","ops/s",Ref,100
