"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: implName","Param: numberOfAccounts"
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed","thrpt",40,6,"399912,969580","915188,823664","ops/s",Monitor,10
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:balance","thrpt",40,6,"10186,513078","25692,473551","ops/s",Monitor,10
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:deposit","thrpt",40,6,"23304,700180","60154,681524","ops/s",Monitor,10
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:getEntries","thrpt",40,6,"11278,064586","28012,023289","ops/s",Monitor,10
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:transfer","thrpt",40,6,"331741,497765","754922,783948","ops/s",Monitor,10
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:withdraw","thrpt",40,6,"23402,193971","55514,875697","ops/s",Monitor,10
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:·gc.alloc.rate","thrpt",40,6,"220,579597","496,944672","MB/sec",Monitor,10
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:·gc.alloc.rate.norm","thrpt",40,6,"582,013208","81,384079","B/op",Monitor,10
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:·gc.churn.PS_Eden_Space","thrpt",40,6,"188,523420","739,465071","MB/sec",Monitor,10
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:·gc.churn.PS_Eden_Space.norm","thrpt",40,6,"1650,132832","5729,103846","B/op",Monitor,10
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:·gc.churn.PS_Survivor_Space","thrpt",40,6,"4,298357","29,524668","MB/sec",Monitor,10
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:·gc.churn.PS_Survivor_Space.norm","thrpt",40,6,"85,922083","590,183895","B/op",Monitor,10
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:·gc.count","thrpt",40,6,"4,000000",NaN,"counts",Monitor,10
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:·gc.time","thrpt",40,6,"8520,000000",NaN,"ms",Monitor,10
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed","thrpt",40,6,"505622,600428","915639,467047","ops/s",Monitor,32
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:balance","thrpt",40,6,"14019,170510","28222,550611","ops/s",Monitor,32
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:deposit","thrpt",40,6,"30379,244110","59454,597063","ops/s",Monitor,32
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:getEntries","thrpt",40,6,"14652,822878","28652,549030","ops/s",Monitor,32
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:transfer","thrpt",40,6,"410486,460797","741750,047986","ops/s",Monitor,32
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:withdraw","thrpt",40,6,"36084,902132","73434,433945","ops/s",Monitor,32
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:·gc.alloc.rate","thrpt",40,6,"255,941716","461,758817","MB/sec",Monitor,32
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:·gc.alloc.rate.norm","thrpt",40,6,"527,463194","71,231898","B/op",Monitor,32
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:·gc.churn.PS_Eden_Space","thrpt",40,6,"136,130256","515,104553","MB/sec",Monitor,32
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:·gc.churn.PS_Eden_Space.norm","thrpt",40,6,"737,920617","2427,199247","B/op",Monitor,32
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:·gc.churn.PS_Survivor_Space","thrpt",40,6,"5,025696","34,520635","MB/sec",Monitor,32
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:·gc.churn.PS_Survivor_Space.norm","thrpt",40,6,"113,163108","777,297767","B/op",Monitor,32
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:·gc.count","thrpt",40,6,"4,000000",NaN,"counts",Monitor,32
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:·gc.time","thrpt",40,6,"8586,000000",NaN,"ms",Monitor,32
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed","thrpt",40,6,"446311,380793","1058331,365207","ops/s",Monitor,100
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:balance","thrpt",40,6,"8268,108538","20013,068931","ops/s",Monitor,100
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:deposit","thrpt",40,6,"29446,693534","69795,778174","ops/s",Monitor,100
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:getEntries","thrpt",40,6,"10114,790473","23698,325175","ops/s",Monitor,100
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:transfer","thrpt",40,6,"370597,667150","895361,076052","ops/s",Monitor,100
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:withdraw","thrpt",40,6,"27884,121098","66315,630661","ops/s",Monitor,100
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:·gc.alloc.rate","thrpt",40,6,"230,859344","553,308837","MB/sec",Monitor,100
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:·gc.alloc.rate.norm","thrpt",40,6,"536,855974","68,009693","B/op",Monitor,100
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:·gc.churn.PS_Eden_Space","thrpt",40,6,"176,656423","711,485104","MB/sec",Monitor,100
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:·gc.churn.PS_Eden_Space.norm","thrpt",40,6,"1958,892069","7848,361715","B/op",Monitor,100
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:·gc.churn.PS_Survivor_Space","thrpt",40,6,"3,909335","26,852546","MB/sec",Monitor,100
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:·gc.churn.PS_Survivor_Space.norm","thrpt",40,6,"138,404302","950,675156","B/op",Monitor,100
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:·gc.count","thrpt",40,6,"4,000000",NaN,"counts",Monitor,100
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:·gc.time","thrpt",40,6,"9247,000000",NaN,"ms",Monitor,100
