"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: implName","Param: numberOfAccounts"
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed","thrpt",5,6,"660458,006011","524459,798105","ops/s",Monitor,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:balance","thrpt",5,6,"62496,371166","86007,724111","ops/s",Monitor,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:deposit","thrpt",5,6,"168441,935104","159743,535694","ops/s",Monitor,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:getEntries","thrpt",5,6,"64568,210310","87946,818279","ops/s",Monitor,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:transfer","thrpt",5,6,"230965,894361","215725,367717","ops/s",Monitor,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:withdraw","thrpt",5,6,"133985,595070","103510,820296","ops/s",Monitor,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed","thrpt",5,6,"4817074,257436","6435218,349999","ops/s",SmallLock,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:balance","thrpt",5,6,"2724478,526637","3533810,082080","ops/s",SmallLock,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:deposit","thrpt",5,6,"290500,602652","373734,948961","ops/s",SmallLock,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:getEntries","thrpt",5,6,"1313443,875258","1906481,842709","ops/s",SmallLock,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:transfer","thrpt",5,6,"202175,850639","288397,411015","ops/s",SmallLock,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:withdraw","thrpt",5,6,"286475,402251","368136,652950","ops/s",SmallLock,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed","thrpt",5,6,"4817358,472296","3068726,858980","ops/s",Cas,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:balance","thrpt",5,6,"2295389,754944","1558004,996889","ops/s",Cas,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:deposit","thrpt",5,6,"91752,214653","56206,021576","ops/s",Cas,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:getEntries","thrpt",5,6,"2336424,469195","1463595,878659","ops/s",Cas,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:transfer","thrpt",5,6,"828,723140","1568,127687","ops/s",Cas,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:withdraw","thrpt",5,6,"92963,310364","84846,315792","ops/s",Cas,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed","thrpt",5,6,"1696326,556343","539368,157763","ops/s",Accumulator,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:balance","thrpt",5,6,"1136807,628929","323594,203382","ops/s",Accumulator,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:deposit","thrpt",5,6,"129549,652292","44015,030699","ops/s",Accumulator,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:getEntries","thrpt",5,6,"236465,201105","114813,804701","ops/s",Accumulator,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:transfer","thrpt",5,6,"70430,706182","41242,761457","ops/s",Accumulator,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:withdraw","thrpt",5,6,"123073,367836","44111,561926","ops/s",Accumulator,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed","thrpt",5,6,"1195346,916147","517572,952836","ops/s",Ref,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:balance","thrpt",5,6,"525198,360719","214449,750149","ops/s",Ref,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:deposit","thrpt",5,6,"64170,152390","32096,741826","ops/s",Ref,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:getEntries","thrpt",5,6,"493080,299123","217019,888676","ops/s",Ref,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:transfer","thrpt",5,6,"48628,144781","23669,669254","ops/s",Ref,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:withdraw","thrpt",5,6,"64269,959134","33779,903554","ops/s",Ref,40
