"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: implName","Param: numberOfAccounts"
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.createOnly","thrpt",36,8,"814615,190869","576169,474351","ops/s",Monitor,2
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.createOnly","thrpt",36,8,"753051,255446","567736,245396","ops/s",Monitor,10
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.createOnly","thrpt",36,8,"789531,372370","497718,594741","ops/s",Monitor,32
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.createOnly","thrpt",36,8,"835032,209155","512107,956151","ops/s",Monitor,100
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.createOnly","thrpt",36,8,"709999,468277","522555,025748","ops/s",SmallLock,2
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.createOnly","thrpt",36,8,"775374,706085","541371,116851","ops/s",SmallLock,10
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.createOnly","thrpt",36,8,"923294,833368","75324,116887","ops/s",SmallLock,32
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.createOnly","thrpt",36,8,"765335,502959","528876,513912","ops/s",SmallLock,100
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.createOnly","thrpt",36,8,"130606,993485","9123,929516","ops/s",Cas,2
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.createOnly","thrpt",36,8,"127588,982564","5439,314101","ops/s",Cas,10
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.createOnly","thrpt",36,8,"130441,117983","4883,552590","ops/s",Cas,32
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.createOnly","thrpt",36,8,"99567,256934","4548,532696","ops/s",Cas,100
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.createOnly","thrpt",36,8,"142733,102944","43901,856423","ops/s",Accumulator,2
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.createOnly","thrpt",36,8,"160379,173168","84030,805858","ops/s",Accumulator,10
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.createOnly","thrpt",36,8,"186654,105581","139572,464883","ops/s",Accumulator,32
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.createOnly","thrpt",36,8,"146669,584571","47074,913239","ops/s",Accumulator,100
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.depositOnly","thrpt",36,8,"692870,535439","460033,893232","ops/s",Monitor,2
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.depositOnly","thrpt",36,8,"702493,019757","410318,715329","ops/s",Monitor,10
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.depositOnly","thrpt",36,8,"699118,013845","80074,834159","ops/s",Monitor,32
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.depositOnly","thrpt",36,8,"722008,827110","530328,127238","ops/s",Monitor,100
