"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: implName","Param: numberOfAccounts"
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed","thrpt",40,6,"5412079,697320","2916977,856299","ops/s",Cas,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:balance","thrpt",40,6,"2939142,702603","1796300,040995","ops/s",Cas,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:deposit","thrpt",40,6,"100405,192418","109411,413203","ops/s",Cas,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:getEntries","thrpt",40,6,"2262552,110422","1383264,704093","ops/s",Cas,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:transfer","thrpt",40,6,"2351,247425","4004,583056","ops/s",Cas,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:withdraw","thrpt",40,6,"107628,444453","147314,564393","ops/s",Cas,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:·gc.alloc.rate","thrpt",40,6,"3475,231599","1715,594374","MB/sec",Cas,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:·gc.alloc.rate.norm","thrpt",40,6,"806,276671","238,920171","B/op",Cas,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:·gc.churn.Compressed_Class_Space","thrpt",40,6,"0,000224","0,001537","MB/sec",Cas,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:·gc.churn.Compressed_Class_Space.norm","thrpt",40,6,"0,000078","0,000534","B/op",Cas,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:·gc.churn.Metaspace","thrpt",40,6,"0,000592","0,004067","MB/sec",Cas,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:·gc.churn.Metaspace.norm","thrpt",40,6,"0,000206","0,001413","B/op",Cas,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:·gc.churn.PS_Eden_Space","thrpt",40,6,"3537,687407","1820,821855","MB/sec",Cas,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:·gc.churn.PS_Eden_Space.norm","thrpt",40,6,"819,901845","248,539698","B/op",Cas,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:·gc.churn.PS_Survivor_Space","thrpt",40,6,"1,939218","1,767089","MB/sec",Cas,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:·gc.churn.PS_Survivor_Space.norm","thrpt",40,6,"0,481455","0,697357","B/op",Cas,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:·gc.count","thrpt",40,6,"43,000000",NaN,"counts",Cas,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:·gc.time","thrpt",40,6,"5707,000000",NaN,"ms",Cas,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed","thrpt",40,6,"5907864,984582","1722504,123890","ops/s",Ref,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:balance","thrpt",40,6,"3370871,439578","2033094,495279","ops/s",Ref,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:deposit","thrpt",40,6,"62719,402666","37640,992571","ops/s",Ref,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:getEntries","thrpt",40,6,"2403640,477946","1339578,548066","ops/s",Ref,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:transfer","thrpt",40,6,"4733,078175","24950,573336","ops/s",Ref,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:withdraw","thrpt",40,6,"65900,586217","35065,248758","ops/s",Ref,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:·gc.alloc.rate","thrpt",40,6,"2557,726405","1494,116779","MB/sec",Ref,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:·gc.alloc.rate.norm","thrpt",40,6,"602,906331","84,415576","B/op",Ref,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:·gc.churn.PS_Eden_Space","thrpt",40,6,"2639,224662","1826,536562","MB/sec",Ref,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:·gc.churn.PS_Eden_Space.norm","thrpt",40,6,"623,032209","269,556604","B/op",Ref,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:·gc.churn.PS_Survivor_Space","thrpt",40,6,"1,546989","3,996831","MB/sec",Ref,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:·gc.churn.PS_Survivor_Space.norm","thrpt",40,6,"0,345363","0,818535","B/op",Ref,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:·gc.count","thrpt",40,6,"30,000000",NaN,"counts",Ref,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:·gc.time","thrpt",40,6,"3856,000000",NaN,"ms",Ref,40
