"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: implName","Param: numberOfAccounts"
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed","thrpt",65,6,"666592,163875","803167,707851","ops/s",Monitor,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:balance","thrpt",65,6,"10323,586099","12697,997375","ops/s",Monitor,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:deposit","thrpt",65,6,"95074,769678","114127,108973","ops/s",Monitor,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:getEntries","thrpt",65,6,"10859,605940","13585,711616","ops/s",Monitor,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:transfer","thrpt",65,6,"470621,901810","635009,875587","ops/s",Monitor,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:withdraw","thrpt",65,6,"79712,300347","83164,520920","ops/s",Monitor,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed","thrpt",65,6,"11356426,367429","6422837,923717","ops/s",SmallLock,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:balance","thrpt",65,6,"9663167,613820","5381646,939059","ops/s",SmallLock,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:deposit","thrpt",65,6,"520352,861885","305059,769501","ops/s",SmallLock,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:getEntries","thrpt",65,6,"622892,337978","404274,049143","ops/s",SmallLock,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:transfer","thrpt",65,6,"22776,586109","13712,957723","ops/s",SmallLock,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:withdraw","thrpt",65,6,"527236,967637","340292,573429","ops/s",SmallLock,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed","thrpt",65,6,"4461625,842085","606539,305428","ops/s",Cas,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:balance","thrpt",65,6,"2235990,025080","366953,935661","ops/s",Cas,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:deposit","thrpt",65,6,"58713,303925","23777,743552","ops/s",Cas,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:getEntries","thrpt",65,6,"2104860,912026","548162,140128","ops/s",Cas,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:transfer","thrpt",65,6,"3166,702150","7080,735987","ops/s",Cas,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:withdraw","thrpt",65,6,"58894,898904","20930,867548","ops/s",Cas,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed","thrpt",65,6,"680426,227536","1793922,813540","ops/s",Accumulator,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:balance","thrpt",65,6,"68560,429891","236977,526255","ops/s",Accumulator,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:deposit","thrpt",65,6,"272039,461322","897238,726490","ops/s",Accumulator,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:getEntries","thrpt",65,6,"37393,786633","106739,824668","ops/s",Accumulator,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:transfer","thrpt",65,6,"116123,870726","357840,528160","ops/s",Accumulator,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:withdraw","thrpt",65,6,"186308,678964","433548,166411","ops/s",Accumulator,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed","thrpt",65,6,"787465,591068","282529,162668","ops/s",Ref,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:balance","thrpt",65,6,"263215,793881","83156,341099","ops/s",Ref,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:deposit","thrpt",65,6,"97730,851316","45157,928937","ops/s",Ref,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:getEntries","thrpt",65,6,"263234,128335","82369,839809","ops/s",Ref,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:transfer","thrpt",65,6,"65714,774351","30203,177519","ops/s",Ref,40
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:withdraw","thrpt",65,6,"97570,043185","45264,642129","ops/s",Ref,40
